country,region_id,authority_id,auth_name_e,old_park_id,new_park_id,park_offical_id
England,E12000003,E08000035,Leeds,LEEDS_8192062f3fdc,e27de60bcc90,LEEDS_0
England,E12000003,E08000035,Leeds,LEEDS_9c93a531629b;LEEDS_c315f5a3beb9,34fa605194c3,LEEDS_1
England,E12000003,E08000035,Leeds,LEEDS_61d3fdd3c28e;LEEDS_f05b1d7906e8,bc1dd516d190,LEEDS_2
England,E12000003,E08000035,Leeds,LEEDS_8ec1a7840269;LEEDS_9648dc192d18,52a600310c20,LEEDS_3
England,E12000003,E08000035,Leeds,LEEDS_7517d5eed785,a3f253420457,LEEDS_4
England,E12000003,E08000035,Leeds,LEEDS_e846e92a4de7,7d16891a6925,LEEDS_5
England,E12000003,E08000035,Leeds,LEEDS_a254e8b8a73a;LEEDS_bc104c16be16,da90c2309597,LEEDS_6
England,E12000003,E08000035,Leeds,LEEDS_50c2a36e8dc1;LEEDS_b6f5cf21ed3d,ff6b4297415f,LEEDS_7
England,E12000003,E08000035,Leeds,LEEDS_bdd3e017f2a2;LEEDS_64b247e1a4c7,d22c13e84256,LEEDS_8
England,E12000003,E08000035,Leeds,LEEDS_fbbc8b5c28ee;LEEDS_e1e05287931d;LEEDS_415f6b8dbb8a,2d21cac2249f,LEEDS_9
England,E12000003,E08000035,Leeds,LEEDS_fc4cb6ddd804;LEEDS_fc211ab0f2fa,a8f2880a9caf,LEEDS_10
England,E12000003,E08000035,Leeds,LEEDS_9b5709245458,1532f0a2ace1,LEEDS_11
England,E12000003,E08000035,Leeds,LEEDS_d0a2bef620d3;LEEDS_bb81954b2487,72f38f9a8c3c,LEEDS_12
England,E12000003,E08000035,Leeds,LEEDS_8acdb20b79be;LEEDS_aa6d069bd716,f14cf0236d49,LEEDS_13
England,E12000003,E08000035,Leeds,LEEDS_1d540a11eb4c;LEEDS_43dcd6a13fb0,95f8ae497cb0,LEEDS_14
England,E12000003,E08000035,Leeds,LEEDS_62d517875543;LEEDS_6cae02985b31,77bd1d790942,LEEDS_15
England,E12000003,E08000035,Leeds,LEEDS_6b29f2f92785,80a2166bfc77,LEEDS_16
England,E12000003,E08000035,Leeds,LEEDS_4127a215f06f,37f611ab0550,LEEDS_17
England,E12000003,E08000035,Leeds,LEEDS_87bd4c0eb2ec;LEEDS_fcc18cfc1726,5ac86610749c,LEEDS_18
England,E12000003,E08000035,Leeds,LEEDS_0850c6732749;LEEDS_e9110ea95918,58256410f492,LEEDS_19
England,E12000003,E08000035,Leeds,LEEDS_46113089ea95;LEEDS_bcaf1723b7fb,a7de067c0e16,LEEDS_20
England,E12000003,E08000035,Leeds,LEEDS_c88c8fbcb264;LEEDS_944b94b3d100,76e01e583a8c,LEEDS_21
England,E12000003,E08000035,Leeds,LEEDS_6ad78c4e9d44;LEEDS_29af2386fb05;LEEDS_3d2f85fcfd10;LEEDS_6d7551755cd5;LEEDS_07a6a2d77d0d;LEEDS_0d906c24265f;LEEDS_10c738f95dee,c5b731d33ba0,LEEDS_22
England,E12000003,E08000035,Leeds,LEEDS_24c20c1a69e8;LEEDS_26c1e2aa11e8,ffd178bdcf40,LEEDS_23
England,E12000003,E08000035,Leeds,LEEDS_12c16773f262;LEEDS_e179b5fb57e6,7ba72fe097e2,LEEDS_24
England,E12000003,E08000035,Leeds,LEEDS_dd37b56cfb44;LEEDS_b18ff6e932a8,c341a7a78e0e,LEEDS_25
England,E12000003,E08000035,Leeds,LEEDS_2bd91a77214a;LEEDS_91a328d37689,8ef17b18e8fd,LEEDS_26
England,E12000003,E08000035,Leeds,LEEDS_b3dfd24a3b13;LEEDS_8e7eb48f8c5b,cdc55c5c3f40,LEEDS_27
England,E12000003,E08000035,Leeds,LEEDS_a2d5fbc6736f,fd4a26fee10b,LEEDS_28
England,E12000003,E08000035,Leeds,LEEDS_b366a0002c87;LEEDS_e6ea6808d1bb,3c9bda985d06,LEEDS_29
England,E12000003,E08000035,Leeds,LEEDS_002386421637;LEEDS_b134724cadea,11fd0c947da6,LEEDS_30
England,E12000003,E08000035,Leeds,LEEDS_02a7afc5fc0a,45c8b5d77ec9,LEEDS_31
England,E12000003,E08000035,Leeds,LEEDS_f216c3d188a7,860a53e4a2ee,LEEDS_32
England,E12000003,E08000035,Leeds,LEEDS_5d4904876a2e,0127441b961a,LEEDS_33
England,E12000003,E08000035,Leeds,LEEDS_ca148d9ac3fb;LEEDS_7933ac86d377,0d7534c915fc,LEEDS_34
England,E12000003,E08000035,Leeds,LEEDS_d1a9144d026e;LEEDS_d59a75c4274e,675564f1fb96,LEEDS_35
England,E12000003,E08000035,Leeds,LEEDS_a7015abba7dd,60fac0346f6b,LEEDS_36
England,E12000003,E08000035,Leeds,LEEDS_961559ac8955;LEEDS_f178a86093ba,8e345a36e334,LEEDS_37
England,E12000003,E08000035,Leeds,LEEDS_0f645a147940;LEEDS_6967331cbeeb,a0cde3105950,LEEDS_38
England,E12000003,E08000035,Leeds,LEEDS_35621c520e1d;LEEDS_7c106f2a18bc;LEEDS_0f808b34c019;LEEDS_86fb20ec8680;LEEDS_a04e1a792e9c;LEEDS_2321c44253c9;LEEDS_4910e6842495;LEEDS_d4ffa98ba815;LEEDS_4df4767c11d5;LEEDS_653518e2590f;LEEDS_7f83c52f3e8a;LEEDS_4c5ff20298c5;LEEDS_26c0bffdd6e4,312fea535ce5,LEEDS_39
England,E12000003,E08000035,Leeds,LEEDS_cfe3970c0182;LEEDS_e212dbcb8dc6,9a8b3e392526,LEEDS_40
England,E12000003,E08000035,Leeds,LEEDS_c82b25b79e2e;LEEDS_a8df1768f695,24eaba033e4e,LEEDS_41
England,E12000003,E08000035,Leeds,LEEDS_80c0794dca5c;LEEDS_fd734a4214e5,4514a3c092eb,LEEDS_42
England,E12000003,E08000035,Leeds,LEEDS_4d8b15c3a309;LEEDS_5907fc5f7978,d4413bf2cf90,LEEDS_43
England,E12000003,E08000035,Leeds,LEEDS_2c247836c5da;LEEDS_976ee5bf3826,5dfa2ba70a81,LEEDS_44
England,E12000003,E08000035,Leeds,LEEDS_b5d7c54114e5;LEEDS_e3e2bc78e7d0,7030a3172fd1,LEEDS_45
England,E12000003,E08000035,Leeds,LEEDS_d6d69c80b0ea;LEEDS_965897d78d56,1fc8d389fde4,LEEDS_46
England,E12000003,E08000035,Leeds,LEEDS_cdb5dc50e0c8,c2d5a8cdbc8b,LEEDS_47
England,E12000003,E08000035,Leeds,LEEDS_23b6d560b26c,ff5a325a73c3,LEEDS_48
England,E12000003,E08000035,Leeds,LEEDS_6195c7711c22,ed9dc21fb182,LEEDS_49
England,E12000003,E08000035,Leeds,LEEDS_582a271235f1;LEEDS_af9048e66e0f,062c28661187,LEEDS_50
England,E12000003,E08000035,Leeds,LEEDS_6ddbccbe638c;LEEDS_9866db1f86cb;LEEDS_5702a0af86e2,ec5498ba03c1,LEEDS_51
England,E12000003,E08000035,Leeds,LEEDS_b22c4b5a4d02;LEEDS_f3d0d608f6d1,50fef0f4113c,LEEDS_52
England,E12000003,E08000035,Leeds,LEEDS_680c941f975d,43048e1f205c,LEEDS_53
England,E12000003,E08000035,Leeds,LEEDS_9ea8cf090efe,6236fc32648a,LEEDS_54
England,E12000003,E08000035,Leeds,LEEDS_e2ad131869df,c0d1226f188d,LEEDS_55
England,E12000003,E08000035,Leeds,LEEDS_44eeb035c013;LEEDS_7cc5070304bc,b203c1b0fede,LEEDS_56
England,E12000003,E08000035,Leeds,LEEDS_069c2a849973,c776495a6d2f,LEEDS_57
England,E12000003,E08000035,Leeds,LEEDS_9f4ac605ce39;LEEDS_ac1a6f63b808,903707de63c2,LEEDS_58
England,E12000003,E08000035,Leeds,LEEDS_fc1e5e079f50,dab0cbb98820,LEEDS_59
England,E12000003,E08000035,Leeds,LEEDS_47cb73234234;LEEDS_e6e0aa1801a1,e0fa33a3dacb,LEEDS_60
England,E12000003,E08000035,Leeds,LEEDS_1a3bed79cd36;LEEDS_91348f1fa0bd,6ccd972eb306,LEEDS_61
England,E12000003,E08000035,Leeds,LEEDS_239c4450e4a2,7d5e7a2194a2,LEEDS_62
England,E12000003,E08000035,Leeds,LEEDS_1944cf657c1f;LEEDS_8f0465517ef5,7859ebf52fb3,LEEDS_63
England,E12000003,E08000035,Leeds,LEEDS_d46b8328ad4f,0c622c0966ce,LEEDS_64
England,E12000003,E08000035,Leeds,LEEDS_924ef0a71ae2;LEEDS_cf9d652da23a,852c51658ba5,LEEDS_65
England,E12000003,E08000035,Leeds,LEEDS_89b70642591f;LEEDS_a31396c1e5ad,b40af80993db,LEEDS_66
England,E12000003,E08000035,Leeds,LEEDS_1912edb46218,0f82348e7041,LEEDS_67
England,E12000003,E08000035,Leeds,LEEDS_9da40dd032b8,11a55689796d,LEEDS_68
England,E12000003,E08000035,Leeds,LEEDS_415230dd00ad,23ed914d0057,LEEDS_69
England,E12000003,E08000035,Leeds,LEEDS_94111ea6421c;LEEDS_db757aa3cba9,783288d8cc59,LEEDS_70
England,E12000003,E08000035,Leeds,LEEDS_013b4e202fe1,de8050568b78,LEEDS_71
England,E12000003,E08000035,Leeds,LEEDS_ea16879181c4;LEEDS_948c32e50b03,13546b58b1a0,LEEDS_72
England,E12000003,E08000035,Leeds,LEEDS_84aceac42234;LEEDS_9fe9fdae13e6,5d53bcb9a3da,LEEDS_73
England,E12000003,E08000035,Leeds,LEEDS_626f46df0f3a,f77083929f57,LEEDS_74
England,E12000003,E08000035,Leeds,LEEDS_5060c62df1bf,37c007230591,LEEDS_75
England,E12000003,E08000035,Leeds,LEEDS_7a5655d6c544,68fcc0cc0d9a,LEEDS_76
England,E12000003,E08000035,Leeds,LEEDS_88a9b1730cfb;LEEDS_4d6191a6fa00,a1874590d93c,LEEDS_77
England,E12000003,E08000035,Leeds,LEEDS_659cef71cb49,78bd5a098bca,LEEDS_78
England,E12000003,E08000035,Leeds,LEEDS_78f483390a7d;LEEDS_656a56ed73df,c87eaeccbe41,LEEDS_79
England,E12000003,E08000035,Leeds,LEEDS_3a5ca365d74f,b7a4d2bc5f22,LEEDS_80
England,E12000003,E08000035,Leeds,LEEDS_0127111b6d06,bd279fbde8e7,LEEDS_81
England,E12000003,E08000035,Leeds,LEEDS_769b061915fa;LEEDS_315fb4ea97d1,b42d70e9a52f,LEEDS_82
England,E12000003,E08000035,Leeds,LEEDS_638f2a779be8;LEEDS_b56e8ec261ee;LEEDS_8277f69df285,1cde20c2d38b,LEEDS_83
England,E12000003,E08000035,Leeds,LEEDS_9121d191e87e,b619e3309a75,LEEDS_84
England,E12000003,E08000035,Leeds,LEEDS_14bbdea24e57;LEEDS_a574a3845a55,65d323caf556,LEEDS_85
England,E12000003,E08000035,Leeds,LEEDS_554530bb30e5,e8b7998dd263,LEEDS_86
England,E12000003,E08000035,Leeds,LEEDS_9c1bcce7a046;LEEDS_cd5855e89770,cae0cbe06881,LEEDS_87
England,E12000003,E08000035,Leeds,LEEDS_c00f9948e680,63b74672691e,LEEDS_88
England,E12000003,E08000035,Leeds,LEEDS_6f3d4bf5ad37;LEEDS_2b2fa0da3b3d,30cc78a75287,LEEDS_89
England,E12000003,E08000035,Leeds,LEEDS_2925f81c003f;LEEDS_a0fac6572ec8,133040bb205f,LEEDS_90
England,E12000003,E08000035,Leeds,LEEDS_aa38687259b2;LEEDS_9ad2caafcd71,439a07ed93b8,LEEDS_91
England,E12000003,E08000035,Leeds,LEEDS_06ac4eb58362,6c8e15a73a4a,LEEDS_92
England,E12000003,E08000035,Leeds,LEEDS_e606ff9fa00f;LEEDS_d23ef82b7505,249eed9ecc1b,LEEDS_93
England,E12000003,E08000035,Leeds,LEEDS_06a779cbcd05;LEEDS_d0ffce59d5cd,7ceab468ba3c,LEEDS_94
England,E12000003,E08000035,Leeds,LEEDS_dca6fcd982f5,3834448ae38b,LEEDS_95
England,E12000003,E08000035,Leeds,LEEDS_d06450940039,65977d30545b,LEEDS_96
England,E12000003,E08000035,Leeds,LEEDS_8b4172113f60;LEEDS_11dfb6fdd4fb,fac8707b6211,LEEDS_97
England,E12000003,E08000035,Leeds,LEEDS_ee75a3cac32d;LEEDS_4fcc5f74fc51,fe7a6cc95215,LEEDS_98
England,E12000003,E08000035,Leeds,LEEDS_b8d1278e8693,f8362c65bc43,LEEDS_99
England,E12000003,E08000035,Leeds,LEEDS_ffb2e1e7662e,68a3bd46a17b,LEEDS_100
England,E12000003,E08000035,Leeds,LEEDS_1697da8dc3b8;LEEDS_35ddb6fe0929;LEEDS_e9d70cc27f2c,9876567d49ef,LEEDS_101
England,E12000003,E08000035,Leeds,LEEDS_9310d222fd4b;LEEDS_eeb93e8a36b9,1df1f38b8cc2,LEEDS_102
England,E12000003,E08000035,Leeds,LEEDS_29fbb051bebb;LEEDS_32f51a214084,b49badb2d97a,LEEDS_103
England,E12000003,E08000035,Leeds,LEEDS_412c667fc9e0,310920d44830,LEEDS_104
England,E12000003,E08000035,Leeds,LEEDS_7874dbcca536;LEEDS_5bb3b5f4f025,58b5b6aef3a2,LEEDS_105
England,E12000003,E08000035,Leeds,LEEDS_fe4c70e2d16b,a2ecbe18ee1c,LEEDS_106
England,E12000003,E08000035,Leeds,LEEDS_88962bbb3356;LEEDS_89b4a98cbc02,1f9eefa7eebd,LEEDS_107
England,E12000003,E08000035,Leeds,LEEDS_2ed7670b6b29;LEEDS_177492601c16,9bd3be060daa,LEEDS_108
England,E12000003,E08000035,Leeds,LEEDS_7e1ab84e2861,6443ceb52504,LEEDS_109
England,E12000003,E08000035,Leeds,LEEDS_608f5a1f4737,5453d811ce2d,LEEDS_110
England,E12000003,E08000035,Leeds,LEEDS_283137b25291;LEEDS_f1485114c6dd;LEEDS_c18da71c3390,0e6d33cabd09,LEEDS_111
England,E12000003,E08000035,Leeds,LEEDS_1ead49df57f4;LEEDS_3f2625cbdaec,02ba413448d9,LEEDS_112
England,E12000003,E08000035,Leeds,LEEDS_7975efa19ba0;LEEDS_3f5d0b1efcb8,b673eeefa25e,LEEDS_113
England,E12000003,E08000035,Leeds,LEEDS_93063270a16f;LEEDS_eb32df47ab96,701a6748ed98,LEEDS_114
England,E12000003,E08000035,Leeds,LEEDS_b431123dbd38,9a37093484ac,LEEDS_115
England,E12000003,E08000035,Leeds,LEEDS_b6376aa5abdd;LEEDS_077591d7d26f;LEEDS_19a8931bc296,b6ce77ae4d32,LEEDS_116
England,E12000003,E08000035,Leeds,LEEDS_6efa0f175f2f,038e7090511d,LEEDS_117
England,E12000003,E08000035,Leeds,LEEDS_97ec4f4de7b2,c0e62a58284b,LEEDS_118
England,E12000003,E08000035,Leeds,LEEDS_13bcc2ab6820;LEEDS_9ff1b249ff76,cc42f145188e,LEEDS_119
England,E12000003,E08000035,Leeds,LEEDS_4be93a1992b3;LEEDS_3ced84270d54,fe4b14d105de,LEEDS_120
England,E12000003,E08000035,Leeds,LEEDS_3fffbda6576c;LEEDS_0634239c6fd5,312665ce6369,LEEDS_121
England,E12000003,E08000035,Leeds,LEEDS_227881939a2e;LEEDS_2cf8e303e4d3;LEEDS_cf3f5e1cb41d,ebca3482065c,LEEDS_122
England,E12000003,E08000035,Leeds,LEEDS_0f36e9cc36a2;LEEDS_9ee1ccd57401;LEEDS_aa170cd7fc48;LEEDS_23ca7fc85551;LEEDS_ea1c924b4fde,3105106637db,LEEDS_123
England,E12000003,E08000035,Leeds,LEEDS_3c94e192f197;LEEDS_b11160bd8680,ba1cfefa5869,LEEDS_124
England,E12000003,E08000035,Leeds,LEEDS_17672fe31b0c,4532795ac2a2,LEEDS_125
England,E12000003,E08000035,Leeds,LEEDS_f7772a811c7c;LEEDS_b7513841dafe,6388161aaf0d,LEEDS_126
England,E12000003,E08000035,Leeds,LEEDS_95ebaf21ada2;LEEDS_3ec94e856f77;LEEDS_282dc2786db4,956303b04fc3,LEEDS_127
England,E12000003,E08000035,Leeds,LEEDS_a2bd1c07ae2f;LEEDS_eecdd79a1720,8d744b89cb8e,LEEDS_128
England,E12000003,E08000035,Leeds,LEEDS_5c67fbb11faf,60a94b828791,LEEDS_129
England,E12000003,E08000035,Leeds,LEEDS_b80b37623f33;LEEDS_a5e1045959ff,7d20672316e8,LEEDS_130
England,E12000003,E08000035,Leeds,LEEDS_e28a8dc21ef7;LEEDS_490c46738028,b916d1ae041a,LEEDS_131
England,E12000003,E08000035,Leeds,LEEDS_d1cd2adc95ac;LEEDS_e1ed3d46b1b6,7620eeb79dd1,LEEDS_132
England,E12000003,E08000035,Leeds,LEEDS_af94da9a3500;LEEDS_fc27e409a047,bb762ac44054,LEEDS_133
England,E12000003,E08000035,Leeds,LEEDS_129fd41eebb0;LEEDS_8baa9d085914;LEEDS_56750b37ad8e,cf0e9f5ea897,LEEDS_134
England,E12000003,E08000035,Leeds,LEEDS_a1f3e82c0f9b;LEEDS_e848a7b7d88e,c0dc134daaa5,LEEDS_135
England,E12000003,E08000035,Leeds,LEEDS_4e4494344f52;LEEDS_761fb6aa1f14,b623dfc4dcab,LEEDS_136
England,E12000003,E08000035,Leeds,LEEDS_0a1870e17668;LEEDS_34bd0e913ce8;LEEDS_fb1fb3739f74;LEEDS_68ba62a43c55;LEEDS_b354aaafedf7;LEEDS_fa699a6c40fc,70e0cc1f0ae2,LEEDS_137
England,E12000003,E08000035,Leeds,LEEDS_201c7494e6c9,1e301ec7e1bf,LEEDS_138
England,E12000003,E08000035,Leeds,LEEDS_c5440f41bd30;LEEDS_869759ffe7e1;LEEDS_36aba4d4c094,536cf3a8dce0,LEEDS_139
England,E12000003,E08000035,Leeds,LEEDS_ac82b9b33fc1,cf4f6ef2d6d6,LEEDS_140
England,E12000003,E08000035,Leeds,LEEDS_5b88c5e4cf61;LEEDS_d0e4ca9540cf,dc69252a687f,LEEDS_141
England,E12000003,E08000035,Leeds,LEEDS_f958c77eab88;LEEDS_78e3d227d4f1,db2cace330d7,LEEDS_142
England,E12000003,E08000035,Leeds,LEEDS_1fcc39348a89;LEEDS_b145a75171cb,34b3b5c882a2,LEEDS_143
England,E12000003,E08000035,Leeds,LEEDS_9e19dfceb8c6;LEEDS_fd5644f1cb43,5d9e4fb8d60b,LEEDS_144
England,E12000003,E08000035,Leeds,LEEDS_a8c75a8ee2a0;LEEDS_be5eecc964f0,787d984c9936,LEEDS_145
England,E12000003,E08000035,Leeds,LEEDS_ca115d4b5d9b;LEEDS_9438dc2f3e3e,5f153e12421d,LEEDS_146
England,E12000003,E08000035,Leeds,LEEDS_b897fe59955f;LEEDS_e125dd6728c2,862377fa28e5,LEEDS_147
England,E12000003,E08000035,Leeds,LEEDS_af35c2c3a317;LEEDS_ab50ec18d5c0,f359133df42a,LEEDS_148
England,E12000003,E08000035,Leeds,LEEDS_c5a28d71ad6b;LEEDS_3439d0e7cd79,6ac6b73d247e,LEEDS_149
England,E12000003,E08000035,Leeds,LEEDS_ff83821b08b9,97a463181cfa,LEEDS_150
England,E12000003,E08000035,Leeds,LEEDS_a23cc6515c87;LEEDS_6eeec4c3954f,448b6b61e9c9,LEEDS_151
England,E12000003,E08000035,Leeds,LEEDS_0378e436c318;LEEDS_609063e84d1f,5df85ae0d85e,LEEDS_152
